province,year,informal_rate,unemployment_rate,labour_productivity,trained_labour_rate,employed_persons
Da Nang,2022,52.94,2.42,198.42,48.54,627.06
Da Nang,2023,49.35,1.98,212.99,49.71,633.18
Da Nang,2024,50.28,1.86,236.61,51.29,643.39
Dak Lak,2018,87.39,2.03,65.57,14.5,1111.1
Dak Lak,2019,88.33,2.12,71.27,14.6,1095.01
Dak Lak,2020,86.35,2.2,80.54,17.2,1079.72
Dak Lak,2021,86.82,1.05,87.56,18.28,1110.97
Dak Lak,2022,86.61,0.81,97.05,17.98,1133.19
Dak Lak,2023,86.32,0.98,103.16,18.28,1133.2
Dak Lak,2024,84.85,1.24,123.95,19.65,1137.71
Dak Nong,2018,87.76,0.76,73.02,13.9,370.88
Dak Nong,2019,88.06,1.14,76.91,14.1,370.02
Dak Nong,2020,87.46,1.79,83.67,14.33,366.98
Dak Nong,2021,90.0,0.66,91.44,15.41,386.76
Dak Nong,2022,88.77,0.64,102.38,14.73,389.37
Dak Nong,2023,88.4,0.75,113.71,16.71,392.46
Dak Nong,2024,88.14,0.55,146.05,17.91,396.66
Dien Bien,2018,86.41,0.5,51.07,15.6,354.4
Dien Bien,2019,86.13,0.47,55.28,16.1,349.82
Dien Bien,2020,87.12,0.45,57.74,16.2,351.62
Dien Bien,2021,85.4,0.51,73.65,18.78,299.62
Dien Bien,2022,85.66,0.39,76.36,18.05,329.58
Dien Bien,2023,86.68,0.31,82.43,18.2,338.57
Dien Bien,2024,89.14,0.56,90.32,18.4,347.08
Dong Nai,2018,56.49,2.64,193.83,20.1,1624.69
Dong Nai,2019,45.12,1.62,198.34,20.0,1737.59
Dong Nai,2020,44.47,1.86,210.62,22.5,1735.88
Dong Nai,2021,42.45,2.22,219.48,21.89,1719.64
Dong Nai,2022,40.3,1.81,240.85,22.28,1746.5
Dong Nai,2023,42.83,2.66,246.45,22.8,1785.78
Dong Nai,2024,44.61,2.35,264.91,23.65,1807.81
Dong Thap,2018,85.1,3.6,74.28,11.4,1023.76
Dong Thap,2019,86.34,1.28,89.63,13.5,918.08
Dong Thap,2020,85.05,2.79,95.54,14.97,894.06
Dong Thap,2021,84.08,5.44,100.19,14.27,869.09
Dong Thap,2022,79.73,4.94,113.91,14.44,867.34
Dong Thap,2023,80.1,4.95,126.18,14.57,872.02
Dong Thap,2024,78.78,4.19,140.27,16.28,876.97
Gia Lai,2018,88.86,0.81,65.71,10.4,895.73
Gia Lai,2019,88.88,1.08,68.09,12.5,898.7
Gia Lai,2020,85.74,1.76,74.26,14.9,884.3
Gia Lai,2021,88.78,0.7,83.19,15.9,909.43
Gia Lai,2022,88.21,0.52,91.61,15.29,925.24
Gia Lai,2023,88.27,0.5,98.77,15.28,944.79
Gia Lai,2024,88.37,0.7,114.16,16.22,954.84
Ha Giang,2018,87.73,0.34,41.89,13.8,526.85
Ha Giang,2019,89.54,0.93,45.82,12.5,528.0
Ha Giang,2020,89.9,1.03,49.45,12.81,524.43
Ha Giang,2021,85.17,4.36,77.84,19.54,350.52
Ha Giang,2022,78.68,4.25,83.37,20.64,361.34
Ha Giang,2023,78.78,3.14,85.27,21.05,366.16
Ha Giang,2024,81.69,2.89,92.48,22.27,372.65
Ha Nam,2018,72.68,2.17,99.58,20.8,479.04
Ha Nam,2019,73.3,1.83,114.25,20.0,478.9
Ha Nam,2020,68.99,1.76,130.26,22.05,460.05
Ha Nam,2021,64.6,1.91,153.76,27.57,432.36
Ha Nam,2022,62.26,0.91,168.36,27.6,453.34
Ha Nam,2023,56.75,1.34,185.82,29.45,456.5
Ha Nam,2024,54.05,1.89,208.32,32.25,461.58
Ha Noi,2018,61.83,1.8,215.49,42.0,4098.87
Ha Noi,2019,56.18,1.78,240.54,48.1,4048.73
Ha Noi,2020,58.52,2.11,251.72,48.5,4042.59
Ha Noi,2021,56.09,2.68,278.43,50.27,3839.69
Ha Noi,2022,53.09,2.22,304.06,50.3,3928.74
Ha Noi,2023,53.37,2.01,319.04,50.77,4028.92
Ha Noi,2024,51.83,1.77,345.63,53.9,4109.35
Ha Tinh,2018,79.92,4.97,102.87,24.2,681.24
Ha Tinh,2019,82.87,3.36,113.69,25.0,687.08
Ha Tinh,2020,82.9,3.18,125.93,25.7,654.39
Ha Tinh,2021,78.5,5.38,184.92,30.48,489.6
Ha Tinh,2022,75.88,5.43,187.48,30.8,502.97
Ha Tinh,2023,76.53,5.51,201.63,31.58,502.27
Ha Tinh,2024,77.95,4.4,217.31,32.28,506.76
Hai Duong,2018,66.96,2.75,110.78,17.5,1037.56
Hai Duong,2019,62.69,1.99,120.19,22.1,1053.91
Hai Duong,2020,58.08,1.7,131.15,24.77,999.61
Hai Duong,2021,54.71,1.18,160.97,30.4,930.06
Hai Duong,2022,50.97,1.5,181.15,29.69,940.3
Hai Duong,2023,52.56,1.33,198.22,29.24,936.39
Hai Duong,2024,52.01,1.27,224.65,29.42,935.61
Hai Phong,2018,63.43,3.55,189.88,31.3,1108.81
Hai Phong,2019,60.33,2.06,227.77,31.6,1090.67
Hai Phong,2020,57.17,2.37,260.68,34.7,1054.81
Hai Phong,2021,56.73,2.41,309.66,36.01,1011.46
Hai Phong,2022,48.52,2.36,356.76,36.45,1015.58
Hai Phong,2023,46.81,2.35,381.86,36.5,1020.2
Hai Phong,2024,43.08,2.15,427.62,38.04,1024.48
Hau Giang,2018,84.87,1.86,73.65,9.7,441.68
Hau Giang,2019,84.64,3.11,87.25,10.8,408.16
Hau Giang,2020,81.26,3.05,95.99,14.23,391.39
Hau Giang,2021,83.39,5.43,106.11,13.5,374.22
Hau Giang,2022,80.94,1.69,119.25,12.48,405.6
Hau Giang,2023,82.21,2.01,143.42,13.7,403.96
Hau Giang,2024,82.79,2.03,161.96,14.05,406.8
Ho Chi Minh city,2018,45.34,2.89,271.3,36.8,4522.91
Ho Chi Minh city,2019,44.21,2.82,286.34,37.1,4692.57
Ho Chi Minh city,2020,46.45,3.91,298.82,38.71,4589.77
Ho Chi Minh city,2021,48.03,6.4,308.96,35.55,4331.54
Ho Chi Minh city,2022,46.57,4.19,332.11,35.62,4507.49
Ho Chi Minh city,2023,47.94,3.8,342.32,36.01,4666.82
Ho Chi Minh city,2024,45.57,3.42,370.69,37.46,4754.25
Hoa Binh,2018,83.95,0.64,84.84,17.4,545.44
Hoa Binh,2019,81.95,0.65,84.51,17.4,553.01
Hoa Binh,2020,81.81,0.44,94.01,18.62,528.75
Hoa Binh,2021,78.92,2.96,111.09,23.63,464.17
Hoa Binh,2022,79.06,1.21,117.61,23.85,497.48
Hoa Binh,2023,78.02,1.09,122.86,23.75,499.9
Hoa Binh,2024,77.11,1.19,139.67,25.62,508.66
Hue,2018,73.66,4.47,81.1,22.7,590.32
Hue,2019,73.68,4.21,88.49,22.7,597.47
Hue,2020,73.35,4.29,98.08,23.15,561.3
Hue,2021,68.96,3.6,104.67,28.73,560.35
Hue,2022,68.15,3.55,114.21,29.81,578.57
Hue,2023,67.81,2.51,123.0,30.12,588.08
Hue,2024,66.21,2.35,133.3,31.3,598.76
Hung Yen,2018,71.51,0.93,114.94,20.4,723.16
Hung Yen,2019,68.89,2.08,129.73,25.3,713.58
Hung Yen,2020,66.51,2.67,142.25,26.35,705.2
Hung Yen,2021,66.34,2.05,169.18,26.66,668.53
Hung Yen,2022,62.33,1.86,196.43,28.14,671.95
Hung Yen,2023,63.22,1.89,209.96,28.19,680.91
Hung Yen,2024,63.76,1.66,227.07,29.28,683.45
Khanh Hoa,2018,74.62,3.46,114.63,18.8,682.49
Khanh Hoa,2019,73.77,3.49,129.1,22.8,671.92
Khanh Hoa,2020,72.47,4.7,124.08,23.88,642.51
Khanh Hoa,2021,74.31,5.72,133.9,25.57,591.96
Khanh Hoa,2022,74.04,3.37,148.61,25.3,651.16
Khanh Hoa,2023,73.19,2.44,167.19,25.3,667.53
Khanh Hoa,2024,71.0,2.5,194.36,26.23,681.32
Kien Giang,2018,80.92,3.04,97.35,15.4,918.5
Kien Giang,2019,85.64,3.56,103.16,13.6,921.84
Kien Giang,2020,85.48,4.35,108.45,14.76,887.08
Kien Giang,2021,84.69,4.52,117.8,15.75,878.05
Kien Giang,2022,82.17,2.82,128.18,16.04,905.9
Kien Giang,2023,81.26,2.97,141.45,16.8,900.3
Kien Giang,2024,79.81,3.17,158.84,17.42,901.58
Kon Tum,2018,77.02,1.0,64.88,18.0,310.28
Kon Tum,2019,85.26,1.16,70.08,12.9,312.67
Kon Tum,2020,81.6,1.05,77.17,15.98,309.7
Kon Tum,2021,81.73,0.51,86.56,18.17,313.55
Kon Tum,2022,81.74,0.67,95.89,17.6,326.43
Kon Tum,2023,81.65,0.65,103.69,17.82,336.24
Kon Tum,2024,80.09,0.55,118.33,18.66,344.57
Lai Chau,2018,88.15,0.33,67.68,14.2,271.28
Lai Chau,2019,88.65,0.54,63.81,13.3,281.78
Lai Chau,2020,89.94,0.42,71.92,12.53,283.04
Lai Chau,2021,79.06,2.28,129.5,25.61,165.01
Lai Chau,2022,82.53,1.23,117.09,23.84,206.5
Lai Chau,2023,84.41,1.21,115.33,23.8,215.52
Lai Chau,2024,87.49,1.43,129.35,23.8,231.29
Lam Dong,2018,84.37,0.08,91.35,16.6,792.31
Lam Dong,2019,82.97,0.84,102.93,16.7,763.74
Lam Dong,2020,84.54,0.98,107.96,18.5,762.98
Lam Dong,2021,83.8,1.49,115.3,20.49,768.54
Lam Dong,2022,82.52,0.65,130.72,21.8,793.47
Lam Dong,2023,82.6,0.53,143.63,22.65,795.56
Lam Dong,2024,83.05,0.74,170.73,23.03,797.19
Lang Son,2018,79.52,3.08,61.26,19.8,484.45
Lang Son,2019,82.96,2.82,67.3,16.5,487.33
Lang Son,2020,79.37,1.84,72.73,21.0,479.69
Lang Son,2021,73.09,7.82,125.3,27.8,299.98
Lang Son,2022,68.63,6.34,136.48,28.5,306.22
Lang Son,2023,70.64,4.28,148.05,27.63,315.34
Lang Son,2024,72.86,4.17,158.16,29.01,320.97
Lao Cai,2018,80.97,1.08,102.43,17.1,437.47
Lao Cai,2019,82.63,1.81,116.65,19.5,428.2
Lao Cai,2020,81.67,1.62,126.03,20.99,426.27
Lao Cai,2021,81.04,1.94,150.86,24.59,375.98
Lao Cai,2022,79.94,1.47,169.54,22.74,390.79
Lao Cai,2023,78.43,1.49,169.78,22.77,391.92
Lao Cai,2024,75.39,1.6,187.34,24.0,393.11
Long An,2018,66.05,2.34,113.79,16.1,969.64
Long An,2019,66.23,5.34,123.21,16.7,1001.55
Long An,2020,64.33,2.15,129.71,15.93,1008.87
Long An,2021,61.84,2.28,141.78,15.13,971.96
Long An,2022,60.91,1.89,159.5,15.08,982.01
Long An,2023,60.16,1.89,164.04,15.94,995.08
Long An,2024,62.7,1.99,181.53,17.16,1001.51
Nam Dinh,2018,75.7,0.68,57.54,15.9,1082.87
Nam Dinh,2019,75.46,1.31,66.91,17.7,1039.06
Nam Dinh,2020,76.4,1.68,75.18,20.07,1010.9
Nam Dinh,2021,70.17,1.71,87.6,22.01,933.89
Nam Dinh,2022,68.52,1.65,94.91,21.5,952.0
Nam Dinh,2023,66.91,1.57,101.93,21.69,955.44
Nam Dinh,2024,65.37,1.25,116.15,23.75,957.53
Nghe An,2018,83.2,1.28,62.74,20.8,1915.72
Nghe An,2019,83.96,1.3,69.83,20.7,1904.36
Nghe An,2020,83.18,1.26,76.01,20.76,1906.34
Nghe An,2021,81.07,2.11,99.05,23.37,1590.66
Nghe An,2022,77.5,1.77,110.55,25.29,1596.95
Nghe An,2023,76.69,2.03,118.38,25.66,1597.23
Nghe An,2024,75.95,2.08,131.72,26.53,1601.34
Ninh Binh,2018,76.47,1.36,91.87,27.4,576.25
Ninh Binh,2019,74.78,0.52,106.7,28.9,579.14
Ninh Binh,2020,73.17,1.36,120.51,30.16,556.95
Ninh Binh,2021,69.26,1.34,147.97,31.74,481.65
Ninh Binh,2022,65.31,1.32,166.37,31.79,483.5
Ninh Binh,2023,61.85,1.28,173.61,33.61,487.38
Ninh Binh,2024,63.1,1.07,191.01,33.93,492.95
Ninh Thuan,2018,82.32,3.29,77.88,19.3,330.17
Ninh Thuan,2019,84.17,2.93,94.75,18.9,328.76
Ninh Thuan,2020,87.16,3.32,110.22,16.16,318.36
Ninh Thuan,2021,86.32,3.43,131.8,18.79,315.16
Ninh Thuan,2022,85.13,1.99,141.56,17.66,326.92
Ninh Thuan,2023,83.12,2.4,157.0,18.61,327.48
Ninh Thuan,2024,83.47,2.72,175.84,18.58,329.93
Phu Tho,2018,77.79,1.95,74.43,21.8,828.25
Phu Tho,2019,73.89,1.46,82.17,24.6,840.01
Phu Tho,2020,76.45,1.47,89.89,25.17,836.42
Phu Tho,2021,67.35,0.93,120.95,34.59,673.0
Phu Tho,2022,63.53,1.12,128.0,33.21,706.75
Phu Tho,2023,63.73,1.29,139.55,34.05,713.64
Phu Tho,2024,61.45,1.51,157.46,35.23,716.6
Phu Yen,2018,87.54,1.21,74.57,14.8,517.7
Phu Yen,2019,85.28,2.17,83.23,16.6,510.13
Phu Yen,2020,86.46,2.76,88.66,17.52,497.89
Phu Yen,2021,80.48,3.29,100.0,21.62,451.15
Phu Yen,2022,81.16,2.95,109.81,21.67,456.04
Phu Yen,2023,79.5,2.57,119.73,23.08,462.28
Phu Yen,2024,80.6,2.46,129.63,23.9,466.03
Quang Binh,2018,81.63,3.42,69.22,25.1,511.31
Quang Binh,2019,85.78,1.34,76.81,21.7,510.64
Quang Binh,2020,86.46,3.49,85.3,21.87,489.81
Quang Binh,2021,82.56,3.6,107.05,26.53,419.33
Quang Binh,2022,77.18,3.35,118.86,26.98,421.99
Quang Binh,2023,76.93,3.16,128.7,27.66,422.96
Quang Binh,2024,77.23,3.06,141.18,28.45,423.89
Quang Nam,2018,74.93,3.18,104.12,20.3,881.23
Quang Nam,2019,76.11,3.2,113.46,18.7,871.74
Quang Nam,2020,72.89,4.09,114.52,21.49,859.68
Quang Nam,2021,71.97,4.21,134.07,26.57,790.23
Quang Nam,2022,67.61,4.05,147.92,26.66,808.75
Quang Nam,2023,65.44,4.04,143.62,27.51,808.57
Quang Nam,2024,62.88,3.89,157.43,28.48,815.0
Quang Ngai,2018,84.76,2.35,114.95,18.2,725.03
Quang Ngai,2019,83.15,2.3,119.83,20.9,725.05
Quang Ngai,2020,79.67,3.19,120.46,22.03,711.42
Quang Ngai,2021,77.07,2.28,154.19,26.12,657.7
Quang Ngai,2022,73.78,1.82,185.85,25.19,664.03
Quang Ngai,2023,73.25,2.09,188.79,26.06,667.09
Quang Ngai,2024,71.82,2.64,196.58,27.36,668.32
Quang Ninh,2018,62.54,3.19,229.22,35.6,721.35
Quang Ninh,2019,63.1,2.73,265.0,37.7,716.48
Quang Ninh,2020,62.12,3.22,309.04,38.65,673.5
Quang Ninh,2021,56.92,2.23,351.31,41.39,654.37
Quang Ninh,2022,49.84,2.21,405.68,41.78,664.28
Quang Ninh,2023,49.89,2.22,438.65,41.89,671.14
Quang Ninh,2024,49.47,2.15,481.87,42.35,678.46
Quang Tri,2018,77.87,3.71,85.57,26.0,334.79
Quang Tri,2019,80.68,3.16,93.68,23.2,340.41
Quang Tri,2020,79.14,3.93,100.15,25.6,336.31
Quang Tri,2021,77.4,3.83,116.73,27.7,321.35
Quang Tri,2022,75.05,2.77,129.71,27.09,326.42
Quang Tri,2023,74.59,2.76,141.91,27.96,327.02
Quang Tri,2024,75.26,2.22,153.9,30.03,329.97
Soc Trang,2018,85.23,3.4,77.23,11.4,649.14
Soc Trang,2019,86.05,2.91,83.49,12.2,639.4
Soc Trang,2020,84.28,2.1,87.05,15.17,629.64
Soc Trang,2021,87.14,3.13,97.16,11.9,596.87
Soc Trang,2022,85.22,3.37,108.69,12.0,607.23
Soc Trang,2023,84.17,3.39,118.0,12.17,608.36
Soc Trang,2024,83.85,3.58,129.68,12.92,609.52
Son La,2018,87.13,0.23,67.13,14.9,741.5
Son La,2019,91.12,0.74,64.92,11.2,765.71
Son La,2020,89.0,0.67,71.87,13.1,765.78
Son La,2021,85.66,1.03,103.6,16.78,550.07
Son La,2022,83.66,2.38,109.98,18.51,585.93
Son La,2023,85.62,2.11,111.57,18.95,598.53
Son La,2024,85.11,1.89,126.62,19.2,603.0
Tay Ninh,2018,69.95,1.52,109.11,14.8,663.3
Tay Ninh,2019,66.68,1.54,118.75,12.7,696.4
Tay Ninh,2020,64.36,1.72,127.99,14.7,681.46
Tay Ninh,2021,67.84,2.66,141.56,16.01,639.39
Tay Ninh,2022,64.27,1.69,156.1,17.82,659.52
Tay Ninh,2023,64.39,1.55,166.3,18.22,669.47
Tay Ninh,2024,64.11,1.39,183.49,20.09,678.81
Thai Binh,2018,78.02,1.44,66.81,18.4,1109.64
Thai Binh,2019,77.9,1.32,75.11,15.3,1121.12
Thai Binh,2020,80.75,1.24,83.44,17.89,1073.74
Thai Binh,2021,76.99,1.72,102.58,19.34,942.59
Thai Binh,2022,63.48,1.13,111.47,19.58,972.96
Thai Binh,2023,60.53,0.99,120.32,22.89,978.82
Thai Binh,2024,59.62,1.21,132.14,23.93,986.04
Thai Nguyen,2018,70.57,1.19,145.64,24.7,741.09
Thai Nguyen,2019,69.01,1.61,153.09,27.2,766.39
Thai Nguyen,2020,63.46,1.7,162.77,28.24,757.96
Thai Nguyen,2021,59.07,1.57,224.13,35.4,590.14
Thai Nguyen,2022,53.33,1.47,243.92,35.93,602.56
Thai Nguyen,2023,54.85,1.78,245.85,36.62,606.48
Thai Nguyen,2024,53.61,1.66,255.43,38.1,611.92
Thanh Hoa,2018,75.47,1.65,65.35,19.4,2237.19
Thanh Hoa,2019,77.01,1.4,77.71,19.4,2267.3
Thanh Hoa,2020,72.08,1.87,85.77,21.39,2190.36
Thanh Hoa,2021,71.09,1.15,109.9,25.14,1947.97
Thanh Hoa,2022,67.9,1.12,129.6,26.4,1955.32
Thanh Hoa,2023,65.57,1.19,138.77,27.56,1957.07
Thanh Hoa,2024,64.44,1.55,156.32,27.94,1958.15
Tien Giang,2018,76.33,1.67,80.83,11.8,1099.88
Tien Giang,2019,78.21,1.8,87.23,11.7,1105.11
Tien Giang,2020,74.69,3.14,91.45,14.2,1081.09
Tien Giang,2021,78.25,7.32,101.0,13.84,983.22
Tien Giang,2022,74.72,2.03,107.0,13.29,1043.97
Tien Giang,2023,73.01,2.35,116.85,14.25,1059.48
Tien Giang,2024,73.02,2.63,129.26,15.34,1067.28
Tra Vinh,2018,81.99,3.04,94.61,10.9,570.9
Tra Vinh,2019,84.16,2.88,105.37,11.8,563.74
Tra Vinh,2020,85.06,2.22,112.03,11.56,550.03
Tra Vinh,2021,85.83,4.01,124.31,10.77,517.03
Tra Vinh,2022,82.56,2.66,137.0,12.1,534.52
Tra Vinh,2023,79.36,2.62,157.87,16.77,532.47
Tra Vinh,2024,79.59,2.75,183.18,17.37,530.78
Tuyen Quang,2018,83.78,1.29,59.83,19.4,470.81
Tuyen Quang,2019,83.21,1.44,64.35,20.7,483.64
Tuyen Quang,2020,82.55,1.4,72.74,21.32,474.35
Tuyen Quang,2021,81.01,3.64,98.9,23.07,366.61
Tuyen Quang,2022,78.16,3.56,110.7,21.63,368.11
Tuyen Quang,2023,77.34,3.64,118.19,21.82,369.46
Tuyen Quang,2024,77.64,3.54,132.04,22.47,372.91
Vinh Long,2018,78.07,4.48,83.96,18.1,585.66
Vinh Long,2019,77.7,2.63,89.11,15.3,607.56
Vinh Long,2020,78.94,2.67,99.51,15.79,589.49
Vinh Long,2021,77.76,3.32,104.2,15.56,567.84
Vinh Long,2022,77.31,2.88,124.75,14.46,568.5
Vinh Long,2023,75.57,2.85,130.76,15.89,576.31
Vinh Long,2024,76.02,3.18,143.4,17.11,584.97
Vinh Phuc,2018,66.97,1.76,167.27,22.4,643.43
Vinh Phuc,2019,64.62,1.79,185.8,24.9,636.93
Vinh Phuc,2020,63.1,2.09,199.25,28.59,622.39
Vinh Phuc,2021,57.63,1.48,239.12,34.68,570.05
Vinh Phuc,2022,54.08,1.46,260.51,34.89,584.29
Vinh Phuc,2023,53.77,1.72,262.94,35.78,597.43
Vinh Phuc,2024,53.18,1.71,286.01,37.28,604.3
Yen Bai,2018,83.21,0.49,53.2,20.0,518.64
Yen Bai,2019,86.47,1.66,60.13,17.5,507.71
Yen Bai,2020,85.22,0.73,64.03,19.09,517.77
Yen Bai,2021,83.37,3.02,99.47,22.2,360.77
Yen Bai,2022,82.18,2.89,112.13,22.9,361.77
Yen Bai,2023,82.09,2.71,118.35,23.19,362.3
Yen Bai,2024,81.69,2.82,130.78,24.2,365.81
