treatment,model,estimator,control_set,controls,controls_included,province_fe,year_fe,coefficient,standard_error,t_stat,p_value,ci_lower_95,ci_upper_95,n_obs,n_provinces,n_years,r_squared,r_squared_within,r_squared_between,r_squared_overall,design_rank,n_parameters,cluster,inference_note
log_real_min_wage,year_fe_controls,linearmodels_panelols,log_employment_scale,unemployment_rate;labour_productivity;trained_labour_rate;log_employed_persons,True,False,True,-48.184771180871095,16.612015040052103,-2.900597613516245,0.003916047704461745,-80.83583829309552,-15.533704068646664,441,63,7,0.6778766586496103,0.4581164190420213,0.7050117262702651,0.6847743321035347,6,6,province,Entity-clustered standard errors from linearmodels.PanelOLS.
log_real_min_wage,year_fe_controls,linearmodels_panelols,level_employment_scale,unemployment_rate;labour_productivity;trained_labour_rate;employed_persons,True,False,True,-55.97156669404212,16.828660095300148,-3.3259669146014583,0.0009569068695147731,-89.04845163880405,-22.89468174928018,441,63,7,0.6697980906882111,0.43382262506678504,0.6980485054977974,0.6763905673564685,6,6,province,Entity-clustered standard errors from linearmodels.PanelOLS.
log_real_min_wage,two_way_fe_controls,linearmodels_panelols,log_employment_scale,unemployment_rate;labour_productivity;trained_labour_rate;log_employed_persons,True,True,True,13.325088427199562,6.383022872189119,2.087582747863411,0.037524709771285636,0.7731998258970165,25.876977028502107,441,63,7,0.4547154655725104,0.6604670089148756,0.1578617412844161,0.19905904481157244,6,6,province,Entity-clustered standard errors from linearmodels.PanelOLS.
log_real_min_wage,two_way_fe_controls,linearmodels_panelols,level_employment_scale,unemployment_rate;labour_productivity;trained_labour_rate;employed_persons,True,True,True,13.698903115125312,6.523800861863677,2.099834652404135,0.036425631952504034,0.8701817843632913,26.527624445887334,441,63,7,0.4417753992155775,0.650365849574633,0.3311683743568552,0.357332197377742,6,6,province,Entity-clustered standard errors from linearmodels.PanelOLS.
min_wage_growth,pooled_ols_no_controls,statsmodels_ols,none,,False,False,False,109.29756484651764,12.32082543576522,8.870961236837733,7.251719547185556e-19,85.1491907326128,133.4459389604225,441,63,7,0.01428691455820752,,,,2,2,province,Cluster-robust standard errors by province from statsmodels.
min_wage_growth,pooled_ols_controls,statsmodels_ols,log_employment_scale,unemployment_rate;labour_productivity;trained_labour_rate;log_employed_persons,True,False,False,6.4998322004324445,20.765098093688263,0.3130171680916897,0.7542676188577379,-34.19901219863788,47.19867659950277,441,63,7,0.640487319798184,,,,6,6,province,Cluster-robust standard errors by province from statsmodels.
min_wage_growth,pooled_ols_controls,statsmodels_ols,level_employment_scale,unemployment_rate;labour_productivity;trained_labour_rate;employed_persons,True,False,False,-4.985485388548582,20.592721900468884,-0.2420993889319248,0.8087031516820883,-45.34647865711681,35.37550788001965,441,63,7,0.6034513506459572,,,,6,6,province,Cluster-robust standard errors by province from statsmodels.
min_wage_growth,province_fe_controls,linearmodels_panelols,log_employment_scale,unemployment_rate;labour_productivity;trained_labour_rate;log_employed_persons,True,True,False,-21.721095823593487,7.536575238180878,-2.882091021071842,0.004179065380863323,-36.54059756420692,-6.901594082980056,441,63,7,0.6817506815668375,0.6817506815668375,0.1805811782390485,0.22166079573786346,6,6,province,Entity-clustered standard errors from linearmodels.PanelOLS.
min_wage_growth,province_fe_controls,linearmodels_panelols,level_employment_scale,unemployment_rate;labour_productivity;trained_labour_rate;employed_persons,True,True,False,-18.35490997369963,7.751370583573875,-2.367956708533067,0.01839595147591333,-33.59677331680872,-3.1130466305905387,441,63,7,0.6725408079809168,0.6725408079809169,0.36258907233965576,0.3879950450867824,6,6,province,Entity-clustered standard errors from linearmodels.PanelOLS.
min_wage_growth,year_fe_controls,linearmodels_panelols,log_employment_scale,unemployment_rate;labour_productivity;trained_labour_rate;log_employed_persons,True,False,True,7.604845880727587,128.60721799821908,0.05913234108549721,0.9528742337451512,-245.17381437523846,260.38350613669365,441,63,7,0.6276715908311934,0.6216862072309276,0.6421509388945247,0.6404734957472973,6,6,province,Entity-clustered standard errors from linearmodels.PanelOLS.
min_wage_growth,year_fe_controls,linearmodels_panelols,level_employment_scale,unemployment_rate;labour_productivity;trained_labour_rate;employed_persons,True,False,True,-3.2102602504372624,128.6443355553571,-0.024954540256891852,0.980102827197123,-256.06187540358064,249.6413549027061,441,63,7,0.5892473726865936,0.6477008546814702,0.5994539500599481,0.6034086288147278,6,6,province,Entity-clustered standard errors from linearmodels.PanelOLS.
min_wage_growth,two_way_fe_controls,linearmodels_panelols,log_employment_scale,unemployment_rate;labour_productivity;trained_labour_rate;log_employed_persons,True,True,True,-18.149606619593342,60.82160528652308,-0.2984072277292384,0.765561251938399,-137.7521882482892,101.4529750091025,441,63,7,0.4469773595183203,0.6615801745975223,0.268895049204679,0.30108247210551276,6,6,province,Entity-clustered standard errors from linearmodels.PanelOLS.
min_wage_growth,two_way_fe_controls,linearmodels_panelols,level_employment_scale,unemployment_rate;labour_productivity;trained_labour_rate;employed_persons,True,True,True,-7.939944836140608,56.213943138372905,-0.14124511451893904,0.8877538038641588,-118.48179408864424,102.60190441636301,441,63,7,0.43355649508676986,0.6416170001200207,0.4246009722085117,0.44238923617613424,6,6,province,Entity-clustered standard errors from linearmodels.PanelOLS.
