treatment,role,seed,cate_mean,cate_sd,p5,p25,median,p75,p95,share_negative,share_ci_excludes_zero,note
log_real_min_wage,main,42,-17.209492225455264,17.422933137472743,-65.0197848511539,-17.457072437110412,-11.288893810953317,-7.393469085786631,-0.1328791312522033,0.9569160997732428,0.2925170068027211,individual CATEs are noisy at n=441; read distribution shape only
real_min_wage,robustness,42,-4.854265033874939e-06,4.957718869968345e-06,-1.8231396451550115e-05,-4.928510463169346e-06,-3.396282303465084e-06,-2.470174962275549e-06,4.689356333059526e-07,0.9342403628117912,0.2358276643990929,individual CATEs are noisy at n=441; read distribution shape only
min_wage_growth,exploratory,42,53.08155886644128,570.3657252706043,-884.383391342383,-240.34178184461356,40.74757940392732,225.48148476321487,1040.9475772499115,0.46485260770975056,0.0,individual CATEs are noisy at n=441; read distribution shape only
