treatment_model,model,feature,impurity_importance,permutation_importance_mean,permutation_importance_std,is_treatment
log_real_min_wage,random_forest,log_real_min_wage,0.02029557874318091,0.020968961152117733,0.0024975634526819865,True
log_real_min_wage,random_forest,unemployment_rate,0.028520750523561393,0.03008520239970925,0.0024234565923542464,False
log_real_min_wage,random_forest,labour_productivity,0.6795711329233697,0.8445056109226902,0.05444062010669715,False
log_real_min_wage,random_forest,trained_labour_rate,0.1468908683863771,0.2580228289894359,0.015803171014331378,False
log_real_min_wage,random_forest,log_employed_persons,0.1161183922958133,0.18717193059540263,0.013924153360016681,False
log_real_min_wage,random_forest,year,0.0086032771276977,0.012148904510281892,0.001244426633156837,False
log_real_min_wage,gradient_boosting,log_real_min_wage,0.04114580225529425,0.04634165637440569,0.003931783684374362,True
log_real_min_wage,gradient_boosting,unemployment_rate,0.03475296296483222,0.04347291053637224,0.0028735464398219447,False
log_real_min_wage,gradient_boosting,labour_productivity,0.6221858914014609,0.7838329132736329,0.04788125434297484,False
log_real_min_wage,gradient_boosting,trained_labour_rate,0.1621697898297953,0.2664586488121435,0.015148769555907415,False
log_real_min_wage,gradient_boosting,log_employed_persons,0.13366507342515824,0.18625124826322317,0.013155540446924447,False
log_real_min_wage,gradient_boosting,year,0.006080480123458907,0.01629199504603307,0.001539372788310267,False
real_min_wage,random_forest,real_min_wage,0.02029557874318091,0.020968961152117736,0.002497563452681984,True
real_min_wage,random_forest,unemployment_rate,0.028520750523561393,0.030085202399709254,0.002423456592354231,False
real_min_wage,random_forest,labour_productivity,0.6795711329233697,0.8445056109226902,0.05444062010669715,False
real_min_wage,random_forest,trained_labour_rate,0.1468908683863771,0.2580228289894359,0.015803171014331385,False
real_min_wage,random_forest,log_employed_persons,0.1161183922958133,0.18717193059540263,0.013924153360016686,False
real_min_wage,random_forest,year,0.0086032771276977,0.012148904510281888,0.0012444266331568428,False
real_min_wage,gradient_boosting,real_min_wage,0.04114580225529425,0.04634165637440569,0.003931783684374362,True
real_min_wage,gradient_boosting,unemployment_rate,0.03475296296483222,0.04347291053637224,0.0028735464398219447,False
real_min_wage,gradient_boosting,labour_productivity,0.6221858914014609,0.7838329132736329,0.04788125434297484,False
real_min_wage,gradient_boosting,trained_labour_rate,0.1621697898297953,0.2664586488121435,0.015148769555907415,False
real_min_wage,gradient_boosting,log_employed_persons,0.13366507342515824,0.18625124826322317,0.013155540446924447,False
real_min_wage,gradient_boosting,year,0.006080480123458907,0.01629199504603307,0.001539372788310267,False
min_wage_growth,random_forest,min_wage_growth,0.00421481534259367,0.0045800375507985104,0.0005162369519528138,True
min_wage_growth,random_forest,unemployment_rate,0.02938801856531297,0.031147296257411392,0.0025262283823137034,False
min_wage_growth,random_forest,labour_productivity,0.6875194158629924,0.9367271803597088,0.05912028609116687,False
min_wage_growth,random_forest,trained_labour_rate,0.14745142558628715,0.2537522897144894,0.01563675432939211,False
min_wage_growth,random_forest,log_employed_persons,0.12375775260178468,0.21118998887762633,0.015826070807368624,False
min_wage_growth,random_forest,year,0.007668572041029251,0.010037105903170529,0.0009274757581987743,False
min_wage_growth,gradient_boosting,min_wage_growth,0.00374729585371811,0.006187240851330437,0.0007185466210330325,True
min_wage_growth,gradient_boosting,unemployment_rate,0.031126750315236627,0.042878707611709053,0.003168854497104268,False
min_wage_growth,gradient_boosting,labour_productivity,0.6494723187781396,1.0672574540394142,0.06162214271584313,False
min_wage_growth,gradient_boosting,trained_labour_rate,0.16002923671789063,0.2467884979162155,0.013617475210762718,False
min_wage_growth,gradient_boosting,log_employed_persons,0.14764355524622821,0.2186433260061773,0.015061206497707695,False
min_wage_growth,gradient_boosting,year,0.007980843088786665,0.02009083073981744,0.0018407805419219621,False
