treatment,learner,seed,fold,theta_fold,n_fold
log_real_min_wage,gradient_boosting_custom,123,2,-28.293700906933694,88
log_real_min_wage,gradient_boosting_custom,123,3,-24.786248279652984,88
log_real_min_wage,gradient_boosting_custom,123,4,-41.64811371361719,88
log_real_min_wage,gradient_boosting_custom,123,5,2.081976885297011,88
log_real_min_wage,gradient_boosting_custom,2024,1,-29.871651798499453,89
log_real_min_wage,gradient_boosting_custom,2024,2,-40.39904151965994,88
log_real_min_wage,gradient_boosting_custom,2024,3,-13.04055866331514,88
log_real_min_wage,gradient_boosting_custom,2024,4,-34.69751914600911,88
log_real_min_wage,gradient_boosting_custom,2024,5,-1.4063957377499716,88
min_wage_growth,ridge_numpy,42,1,-1741.9626535883547,89
min_wage_growth,ridge_numpy,42,2,285.69302498118054,88
min_wage_growth,ridge_numpy,42,3,277.3736318647398,88
min_wage_growth,ridge_numpy,42,4,-1043.0519760198183,88
min_wage_growth,ridge_numpy,42,5,789.8667683902739,88
min_wage_growth,ridge_numpy,123,1,451.4318114973298,89
min_wage_growth,ridge_numpy,123,2,-5419.907285473914,88
min_wage_growth,ridge_numpy,123,3,277.041482213762,88
min_wage_growth,ridge_numpy,123,4,-471.472984692989,88
min_wage_growth,ridge_numpy,123,5,125.6614899707548,88
min_wage_growth,ridge_numpy,2024,1,-768.3634362388158,89
min_wage_growth,ridge_numpy,2024,2,1148.6648758390056,88
min_wage_growth,ridge_numpy,2024,3,-500.27013947212225,88
min_wage_growth,ridge_numpy,2024,4,-111.10465343499796,88
min_wage_growth,ridge_numpy,2024,5,-842.7125315031346,88
min_wage_growth,random_forest_custom,42,1,-167.11722245684408,89
min_wage_growth,random_forest_custom,42,2,-137.6785335601372,88
min_wage_growth,random_forest_custom,42,3,397.80842079671345,88
min_wage_growth,random_forest_custom,42,4,-25.389143446194893,88
min_wage_growth,random_forest_custom,42,5,-336.959333116666,88
min_wage_growth,random_forest_custom,123,1,-269.0065145759099,89
min_wage_growth,random_forest_custom,123,2,5.504026834227641,88
min_wage_growth,random_forest_custom,123,3,-291.3029111943084,88
min_wage_growth,random_forest_custom,123,4,-76.27834005305735,88
min_wage_growth,random_forest_custom,123,5,303.7315050103333,88
min_wage_growth,random_forest_custom,2024,1,-192.85759074013234,89
min_wage_growth,random_forest_custom,2024,2,-255.73902046022783,88
min_wage_growth,random_forest_custom,2024,3,-69.51924194920531,88
min_wage_growth,random_forest_custom,2024,4,223.40974578721975,88
min_wage_growth,random_forest_custom,2024,5,-63.602802986425935,88
min_wage_growth,gradient_boosting_custom,42,1,-158.1564722066751,89
min_wage_growth,gradient_boosting_custom,42,2,-295.171151347586,88
min_wage_growth,gradient_boosting_custom,42,3,232.01733048170627,88
min_wage_growth,gradient_boosting_custom,42,4,-139.26256636357266,88
min_wage_growth,gradient_boosting_custom,42,5,-435.68176313096427,88
min_wage_growth,gradient_boosting_custom,123,1,-167.4293780304409,89
min_wage_growth,gradient_boosting_custom,123,2,105.67040125637347,88
min_wage_growth,gradient_boosting_custom,123,3,-216.06910352662774,88
min_wage_growth,gradient_boosting_custom,123,4,-128.0796138673547,88
min_wage_growth,gradient_boosting_custom,123,5,285.01075775382793,88
min_wage_growth,gradient_boosting_custom,2024,1,-285.98165797409865,89
min_wage_growth,gradient_boosting_custom,2024,2,-202.1454196197186,88
min_wage_growth,gradient_boosting_custom,2024,3,-267.7062461712651,88
min_wage_growth,gradient_boosting_custom,2024,4,168.01134217941592,88
min_wage_growth,gradient_boosting_custom,2024,5,-134.55830634713018,88
