treatment,seed,min_samples_leaf,ate,ci_lower,ci_upper,ci_contains_zero,cate_share_negative,same_sign_as_dml
log_real_min_wage,42,10,-17.20949222545519,-37.83657503029471,3.417590579384324,True,0.9569160997732428,True
log_real_min_wage,123,10,-14.15624513904573,-31.01453885443305,2.7020485763415767,True,1.0,True
log_real_min_wage,2024,10,-7.864340441928864,-25.17824655971821,9.449565675860487,True,0.8095238095238095,True
log_real_min_wage,7,10,-1.861268942404693,-19.523067568587127,15.800529683777738,True,0.4807256235827664,True
log_real_min_wage,99,10,-6.264574668624576,-25.87251352630644,13.343364189057286,True,0.800453514739229,True
log_real_min_wage,42,20,-17.12930596817369,-33.65236547148271,-0.6062464648646824,False,1.0,True
log_real_min_wage,7,20,-1.8307132918789384,-15.709999885749788,12.048573301991905,True,0.6009070294784581,True
real_min_wage,42,10,-4.854265033874938e-06,-1.1369294504495624e-05,1.660764436745746e-06,True,0.9342403628117912,True
real_min_wage,123,10,-3.9898865210273696e-06,-9.799309656156872e-06,1.8195366141021312e-06,True,1.0,True
real_min_wage,7,10,-3.444415451206064e-07,-5.897433647656148e-06,5.208550557414935e-06,True,0.4467120181405896,True
real_min_wage,2024,10,-2.1324989646092814e-06,-7.835219641117223e-06,3.5702217118986577e-06,True,0.7596371882086168,True
real_min_wage,99,10,-1.5681256364587885e-06,-7.766193681378693e-06,4.6299424084611154e-06,True,0.7936507936507936,True
