target,linear_oos_r2,rf_oos_r2,rf_gain
E[Y|W] informal_rate,0.6300697390478509,0.8384143179419272,0.20834457889407632
E[D|W] real_min_wage,0.6564257689537357,0.7621328725310719,0.10570710357733615
E[D|W] log_real_min_wage,0.6371892283664842,0.7484996765413632,0.111310448174879
E[D|W] min_wage_growth,0.05230337714035915,0.10451523535565543,0.05221185821529628
