province,year,wage_region,informal_rate,min_wage_nominal,cpi_index,cpi_2018_base,real_min_wage,log_real_min_wage,min_wage_growth,unemployment_rate,labour_productivity,trained_labour_rate,employed_persons,log_employed_persons
Lang Son,2023,III,70.64,3640000,183.07341008214,115.0901005828451,3162739.4376806766,14.966949120671522,-0.002736928615167167,4.28,148.05,27.63,315.34,5.7536514218093355
Lang Son,2024,III,72.86,3750000,189.7026680414,119.2576198581923,3144453.163210097,14.96115055802573,-0.0057817834288586,4.17,158.16,29.01,320.97,5.771347660818625
Lao Cai,2018,III,80.97,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,1.08,102.43,17.1,437.47,6.08100813201797
Lao Cai,2019,III,82.63,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,1.81,116.65,19.5,428.2,6.059590376155582
Lao Cai,2020,III,81.67,3430000,168.78372148334,106.106809686611,3232591.7725078976,14.988794779792167,0.022452104179829346,1.62,126.03,20.99,426.27,6.055072948318093
Lao Cai,2021,III,81.04,3430000,171.88042266406,108.05356782152622,3174351.452851039,14.97061390262505,-0.018016602081392663,1.94,150.86,24.59,375.98,5.929535950485816
Lao Cai,2022,III,79.94,3535000,177.30584109585,111.46428679343252,3171419.3861493245,14.969689801523778,-0.0009236742513438756,1.47,169.54,22.74,390.79,5.9681703313049
Lao Cai,2023,III,78.43,3640000,183.07341008214,115.0901005828451,3162739.4376806766,14.966949120671522,-0.002736928615167167,1.49,169.78,22.77,391.92,5.9710577373303195
Lao Cai,2024,III,75.39,3750000,189.7026680414,119.2576198581923,3144453.163210097,14.96115055802573,-0.0057817834288586,1.6,187.34,24.0,393.11,5.974089470923892
Long An,2018,II,66.05,3530000,159.06964122458,100.0,3530000.0,15.07680842890948,0.0,2.34,113.79,16.1,969.64,6.876924868589534
Long An,2019,II,66.23,3710000,163.51694791292,102.79582367452576,3609096.038518722,15.098967894110077,0.02240680977867493,5.34,123.21,16.7,1001.55,6.909304078971988
Long An,2020,II,64.33,3920000,168.78372148334,106.106809686611,3694390.5971518825,15.12232617241669,0.023633219433021102,2.15,129.71,15.93,1008.87,6.916586171616892
Long An,2021,II,61.84,3920000,171.88042266406,108.05356782152622,3627830.2318297587,15.104145295249573,-0.018016602081392552,2.28,141.78,15.13,971.96,6.879314651350287
Long An,2022,II,60.91,4040000,177.30584109585,111.46428679343252,3624479.2984563704,15.1032211941483,-0.0009236742513439866,1.89,159.5,15.08,982.01,6.889601491602005
Long An,2023,II,60.16,4160000,183.07341008214,115.0901005828451,3614559.3573493445,15.100480513296045,-0.0027369286151670558,1.89,164.04,15.94,995.08,6.902823135936575
