province,year,wage_region,informal_rate,min_wage_nominal,cpi_index,cpi_2018_base,real_min_wage,log_real_min_wage,min_wage_growth,unemployment_rate,labour_productivity,trained_labour_rate,employed_persons,log_employed_persons
Soc Trang,2019,III,86.05,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,2.91,83.49,12.2,639.4,6.460530236625741
Soc Trang,2020,III,84.28,3430000,168.78372148334,106.106809686611,3232591.7725078976,14.988794779792167,0.022452104179829346,2.1,87.05,15.17,629.64,6.44514822748662
Soc Trang,2021,III,87.14,3430000,171.88042266406,108.05356782152622,3174351.452851039,14.97061390262505,-0.018016602081392663,3.13,97.16,11.9,596.87,6.391699334236557
Soc Trang,2022,III,85.22,3535000,177.30584109585,111.46428679343252,3171419.3861493245,14.969689801523778,-0.0009236742513438756,3.37,108.69,12.0,607.23,6.408907631975554
Soc Trang,2023,III,84.17,3640000,183.07341008214,115.0901005828451,3162739.4376806766,14.966949120671522,-0.002736928615167167,3.39,118.0,12.17,608.36,6.410766812004168
Soc Trang,2024,III,83.85,3750000,189.7026680414,119.2576198581923,3144453.163210097,14.96115055802573,-0.0057817834288586,3.58,129.68,12.92,609.52,6.412671762164754
Son La,2018,IV,87.13,2760000,159.06964122458,100.0,2760000.0,14.830741237693333,0.0,0.23,67.13,14.9,741.5,6.608675161577986
Son La,2019,IV,91.12,2920000,163.51694791292,102.79582367452576,2840582.326812579,14.859519633770924,0.02919649522194878,0.74,64.92,11.2,765.71,6.640803507978946
Son La,2020,IV,89.0,3070000,168.78372148334,106.106809686611,2893311.003381704,14.877912080213424,0.018562629243804363,0.67,71.87,13.1,765.78,6.640894922222654
Son La,2021,IV,85.66,3070000,171.88042266406,108.05356782152622,2841183.3703360613,14.859731203046309,-0.018016602081392552,1.03,103.6,16.78,550.07,6.310045542855303
Son La,2022,IV,83.66,3160000,177.30584109585,111.46428679343252,2834988.758198547,14.857548529774062,-0.0021802929730584397,2.38,109.98,18.51,585.93,6.373200328516909
Son La,2023,IV,85.62,3250000,183.07341008214,115.0901005828451,2823874.4979291754,14.853620435364519,-0.003920389538487723,2.11,111.57,18.95,598.53,6.394476649055079
Son La,2024,IV,85.11,3350000,189.7026680414,119.2576198581923,2809044.8258010196,14.848355063880385,-0.005251533713354073,1.89,126.62,19.2,603.0,6.401917196727186
Tay Ninh,2018,III,69.95,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,1.52,109.11,14.8,663.3,6.4972273765315105
Tay Ninh,2019,III,66.68,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,1.54,118.75,12.7,696.4,6.545924207894034
Tay Ninh,2020,II,64.36,3920000,168.78372148334,106.106809686611,3694390.5971518825,15.12232617241669,0.023633219433021102,1.72,127.99,14.7,681.46,6.524237555356797
Tay Ninh,2021,II,67.84,3920000,171.88042266406,108.05356782152622,3627830.2318297587,15.104145295249573,-0.018016602081392552,2.66,141.56,16.01,639.39,6.460514596841257
Tay Ninh,2022,II,64.27,4040000,177.30584109585,111.46428679343252,3624479.2984563704,15.1032211941483,-0.0009236742513439866,1.69,156.1,17.82,659.52,6.491512297702094
Tay Ninh,2023,II,64.39,4160000,183.07341008214,115.0901005828451,3614559.3573493445,15.100480513296045,-0.0027369286151670558,1.55,166.3,18.22,669.47,6.506486354567876
Tay Ninh,2024,II,64.11,4285000,189.7026680414,119.2576198581923,3593061.8144947365,15.094515270093154,-0.0059474864649540216,1.39,183.49,20.09,678.81,6.520341265131346
Thai Binh,2018,III,78.02,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,1.44,66.81,18.4,1109.64,7.011790917377548
Thai Binh,2019,III,77.9,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,1.32,75.11,15.3,1121.12,7.022083464622224
Thai Binh,2020,III,80.75,3430000,168.78372148334,106.106809686611,3232591.7725078976,14.988794779792167,0.022452104179829346,1.24,83.44,17.89,1073.74,6.978903160100266
Thai Binh,2021,III,76.99,3430000,171.88042266406,108.05356782152622,3174351.452851039,14.97061390262505,-0.018016602081392663,1.72,102.58,19.34,942.59,6.848631405479398
Thai Binh,2022,III,63.48,3535000,177.30584109585,111.46428679343252,3171419.3861493245,14.969689801523778,-0.0009236742513438756,1.13,111.47,19.58,972.96,6.8803429713718
Thai Binh,2023,III,60.53,3640000,183.07341008214,115.0901005828451,3162739.4376806766,14.966949120671522,-0.002736928615167167,0.99,120.32,22.89,978.82,6.886347764543252
Thai Binh,2024,III,59.62,3750000,189.7026680414,119.2576198581923,3144453.163210097,14.96115055802573,-0.0057817834288586,1.21,132.14,23.93,986.04,6.893696921731097
Thai Nguyen,2018,II,70.57,3530000,159.06964122458,100.0,3530000.0,15.07680842890948,0.0,1.19,145.64,24.7,741.09,6.608122075410602
Thai Nguyen,2019,II,69.01,3710000,163.51694791292,102.79582367452576,3609096.038518722,15.098967894110077,0.02240680977867493,1.61,153.09,27.2,766.39,6.641691178554823
Thai Nguyen,2020,II,63.46,3920000,168.78372148334,106.106809686611,3694390.5971518825,15.12232617241669,0.023633219433021102,1.7,162.77,28.24,757.96,6.630630613801414
Thai Nguyen,2021,II,59.07,3920000,171.88042266406,108.05356782152622,3627830.2318297587,15.104145295249573,-0.018016602081392552,1.57,224.13,35.4,590.14,6.380359796886982
Thai Nguyen,2022,II,53.33,4040000,177.30584109585,111.46428679343252,3624479.2984563704,15.1032211941483,-0.0009236742513439866,1.47,243.92,35.93,602.56,6.401187245468788
Thai Nguyen,2023,II,54.85,4160000,183.07341008214,115.0901005828451,3614559.3573493445,15.100480513296045,-0.0027369286151670558,1.78,245.85,36.62,606.48,6.407671751748048
Thai Nguyen,2024,II,53.61,4285000,189.7026680414,119.2576198581923,3593061.8144947365,15.094515270093154,-0.0059474864649540216,1.66,255.43,38.1,611.92,6.41660155501361
Thanh Hoa,2018,III,75.47,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,1.65,65.35,19.4,2237.19,7.712975893064387
Thanh Hoa,2019,III,77.01,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,1.4,77.71,19.4,2267.3,7.726344975232597
Thanh Hoa,2020,III,72.08,3430000,168.78372148334,106.106809686611,3232591.7725078976,14.988794779792167,0.022452104179829346,1.87,85.77,21.39,2190.36,7.691821192862693
Thanh Hoa,2021,III,71.09,3430000,171.88042266406,108.05356782152622,3174351.452851039,14.97061390262505,-0.018016602081392663,1.15,109.9,25.14,1947.97,7.574543083673215
Thanh Hoa,2022,III,67.9,3535000,177.30584109585,111.46428679343252,3171419.3861493245,14.969689801523778,-0.0009236742513438756,1.12,129.6,26.4,1955.32,7.578309141889338
Thanh Hoa,2023,III,65.57,3640000,183.07341008214,115.0901005828451,3162739.4376806766,14.966949120671522,-0.002736928615167167,1.19,138.77,27.56,1957.07,7.579203735790616
Thanh Hoa,2024,III,64.44,3750000,189.7026680414,119.2576198581923,3144453.163210097,14.96115055802573,-0.0057817834288586,1.55,156.32,27.94,1958.15,7.579755428940627
Tien Giang,2018,II,76.33,3530000,159.06964122458,100.0,3530000.0,15.07680842890948,0.0,1.67,80.83,11.8,1099.88,7.002956361926525
Tien Giang,2019,II,78.21,3710000,163.51694791292,102.79582367452576,3609096.038518722,15.098967894110077,0.02240680977867493,1.8,87.23,11.7,1105.11,7.0077001565086405
Tien Giang,2020,II,74.69,3920000,168.78372148334,106.106809686611,3694390.5971518825,15.12232617241669,0.023633219433021102,3.14,91.45,14.2,1081.09,6.985725070417818
Tien Giang,2021,II,78.25,3920000,171.88042266406,108.05356782152622,3627830.2318297587,15.104145295249573,-0.018016602081392552,7.32,101.0,13.84,983.22,6.890832899786187
Tien Giang,2022,II,74.72,4040000,177.30584109585,111.46428679343252,3624479.2984563704,15.1032211941483,-0.0009236742513439866,2.03,107.0,13.29,1043.97,6.950786032397524
Tien Giang,2023,II,73.01,4160000,183.07341008214,115.0901005828451,3614559.3573493445,15.100480513296045,-0.0027369286151670558,2.35,116.85,14.25,1059.48,6.965533500701492
Tien Giang,2024,II,73.02,4285000,189.7026680414,119.2576198581923,3593061.8144947365,15.094515270093154,-0.0059474864649540216,2.63,129.26,15.34,1067.28,6.972868634870551
Tra Vinh,2018,III,81.99,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,3.04,94.61,10.9,570.9,6.347214062970213
Tra Vinh,2019,III,84.16,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,2.88,105.37,11.8,563.74,6.33459315230036
Tra Vinh,2020,III,85.06,3430000,168.78372148334,106.106809686611,3232591.7725078976,14.988794779792167,0.022452104179829346,2.22,112.03,11.56,550.03,6.3099728221935125
Tra Vinh,2021,III,85.83,3430000,171.88042266406,108.05356782152622,3174351.452851039,14.97061390262505,-0.018016602081392663,4.01,124.31,10.77,517.03,6.248100899904227
Tra Vinh,2022,III,82.56,3535000,177.30584109585,111.46428679343252,3171419.3861493245,14.969689801523778,-0.0009236742513438756,2.66,137.0,12.1,534.52,6.28136914791286
Tra Vinh,2023,III,79.36,3640000,183.07341008214,115.0901005828451,3162739.4376806766,14.966949120671522,-0.002736928615167167,2.62,157.87,16.77,532.47,6.277526557968365
Tra Vinh,2024,III,79.59,3750000,189.7026680414,119.2576198581923,3144453.163210097,14.96115055802573,-0.0057817834288586,2.75,183.18,17.37,530.78,6.27434762277305
Tuyen Quang,2018,III,83.78,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,1.29,59.83,19.4,470.81,6.154454615602348
Tuyen Quang,2019,III,83.21,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,1.44,64.35,20.7,483.64,6.181340828306046
Tuyen Quang,2020,III,82.55,3430000,168.78372148334,106.106809686611,3232591.7725078976,14.988794779792167,0.022452104179829346,1.4,72.74,21.32,474.35,6.161945445838886
Tuyen Quang,2021,III,81.01,3430000,171.88042266406,108.05356782152622,3174351.452851039,14.97061390262505,-0.018016602081392663,3.64,98.9,23.07,366.61,5.904298612720427
Tuyen Quang,2022,III,78.16,3535000,177.30584109585,111.46428679343252,3171419.3861493245,14.969689801523778,-0.0009236742513438756,3.56,110.7,21.63,368.11,5.908381806546806
Tuyen Quang,2023,III,77.34,3640000,183.07341008214,115.0901005828451,3162739.4376806766,14.966949120671522,-0.002736928615167167,3.64,118.19,21.82,369.46,5.912042480130491
Tuyen Quang,2024,III,77.64,3750000,189.7026680414,119.2576198581923,3144453.163210097,14.96115055802573,-0.0057817834288586,3.54,132.04,22.47,372.91,5.921337103666186
Vinh Long,2018,III,78.07,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,4.48,83.96,18.1,585.66,6.3727394164149285
Vinh Long,2019,III,77.7,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,2.63,89.11,15.3,607.56,6.409450935769818
Vinh Long,2020,III,78.94,3430000,168.78372148334,106.106809686611,3232591.7725078976,14.988794779792167,0.022452104179829346,2.67,99.51,15.79,589.49,6.37925775630513
Vinh Long,2021,III,77.76,3430000,171.88042266406,108.05356782152622,3174351.452851039,14.97061390262505,-0.018016602081392663,3.32,104.2,15.56,567.84,6.341839688898187
Vinh Long,2022,III,77.31,3535000,177.30584109585,111.46428679343252,3171419.3861493245,14.969689801523778,-0.0009236742513438756,2.88,124.75,14.46,568.5,6.343001313190591
Vinh Long,2023,III,75.57,3640000,183.07341008214,115.0901005828451,3162739.4376806766,14.966949120671522,-0.002736928615167167,2.85,130.76,15.89,576.31,6.3566457103656475
Vinh Long,2024,III,76.02,3750000,189.7026680414,119.2576198581923,3144453.163210097,14.96115055802573,-0.0057817834288586,3.18,143.4,17.11,584.97,6.371560563865605
Vinh Phuc,2018,II,66.97,3530000,159.06964122458,100.0,3530000.0,15.07680842890948,0.0,1.76,167.27,22.4,643.43,6.466813241010416
Vinh Phuc,2019,II,64.62,3710000,163.51694791292,102.79582367452576,3609096.038518722,15.098967894110077,0.02240680977867493,1.79,185.8,24.9,636.93,6.456659759423912
Vinh Phuc,2020,II,63.1,3920000,168.78372148334,106.106809686611,3694390.5971518825,15.12232617241669,0.023633219433021102,2.09,199.25,28.59,622.39,6.433566905897062
Vinh Phuc,2021,II,57.63,3920000,171.88042266406,108.05356782152622,3627830.2318297587,15.104145295249573,-0.018016602081392552,1.48,239.12,34.68,570.05,6.345724076279729
Vinh Phuc,2022,II,54.08,4040000,177.30584109585,111.46428679343252,3624479.2984563704,15.1032211941483,-0.0009236742513439866,1.46,260.51,34.89,584.29,6.370397434917958
Vinh Phuc,2023,II,53.77,4160000,183.07341008214,115.0901005828451,3614559.3573493445,15.100480513296045,-0.0027369286151670558,1.72,262.94,35.78,597.43,6.39263712213079
Vinh Phuc,2024,II,53.18,4285000,189.7026680414,119.2576198581923,3593061.8144947365,15.094515270093154,-0.0059474864649540216,1.71,286.01,37.28,604.3,6.404070763367513
Yen Bai,2018,III,83.21,3090000,159.06964122458,100.0,3090000.0,14.943681648873929,0.0,0.49,53.2,20.0,518.64,6.25121000086674
Yen Bai,2019,III,86.47,3250000,163.51694791292,102.79582367452576,3161607.041829069,14.96659101383238,0.023173799944682605,1.66,60.13,17.5,507.71,6.229910418430634
Yen Bai,2020,III,85.22,3430000,168.78372148334,106.106809686611,3232591.7725078976,14.988794779792167,0.022452104179829346,0.73,64.03,19.09,517.77,6.249531128211421
Yen Bai,2021,III,83.37,3430000,171.88042266406,108.05356782152622,3174351.452851039,14.97061390262505,-0.018016602081392663,3.02,99.47,22.2,360.77,5.888240636172677
Yen Bai,2022,III,82.18,3535000,177.30584109585,111.46428679343252,3171419.3861493245,14.969689801523778,-0.0009236742513438756,2.89,112.13,22.9,361.77,5.891008650783611
Yen Bai,2023,III,82.09,3640000,183.07341008214,115.0901005828451,3162739.4376806766,14.966949120671522,-0.002736928615167167,2.71,118.35,23.19,362.3,5.8924725979010315
Yen Bai,2024,III,81.69,3750000,189.7026680414,119.2576198581923,3144453.163210097,14.96115055802573,-0.0057817834288586,2.82,130.78,24.2,365.81,5.902114072925917
